Test Result UID,Sample Name,Sample Type,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,URL
,Guava Kush (G/H #B2),"Flower, Inhalable",,,,,,0.0,0.019,0.011000000000000001,0.0,0.0,0.0,0.0,0.032,0.0,0.004,0.038,0.165,1.179,0.0,0.449,0.941,,0.494,0.281,0.0,0.0,,0.61,0.0,23.23,0.02,0.0,0.1,0.0,0.0,0.02,0.39,0.09,0.08,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/guava-kush
,Sour Cookies,"Concentrate, Inhalable",,,,,,0.0,0.012,0.095,0.0,0.0,0.0,0.0,0.573,0.0,0.0,0.218,0.43700000000000006,0.068,0.0,1.2830000000000001,0.22399999999999998,,0.13699999999999998,0.7959999999999999,0.0,0.0,,2.24,0.0,68.92,0.06,0.0,0.2,0.0,0.0,0.0,2.49,0.39,0.0,https://www.allbud.com/marijuana-strains/sativa-dominant-hybrid/sour-cookies
,OG Kush,"Concentrate, Inhalable",,,,,,0.0,0.013000000000000001,0.092,0.0,0.0,0.019,0.0,0.12,0.0,0.008,0.547,0.85,0.086,0.0,2.7060000000000004,0.18600000000000003,,0.16399999999999998,0.7440000000000001,0.0,0.0,,1.94,0.0,67.34,0.12,0.0,0.16,0.0,0.0,0.0,1.93,0.2,0.0,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/og-kush
,Lemon Skunk (12305),"Flower, Inhalable",,,,,,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.036000000000000004,0.0,0.0,0.017,0.043,0.015,0.0,0.162,0.139,,0.03,0.18100000000000002,0.0,0.0,,0.61,0.0,20.01,0.01,0.0,0.05,0.0,0.0,0.0,0.43,0.11,0.04,https://www.allbud.com/marijuana-strains/sativa-dominant-hybrid/lemon-skunk
,Orange Creamsicle (7205),"Flower, Inhalable",,,,,,0.006,0.0,0.0,0.0,0.003,0.05,0.0,0.008,0.11199999999999999,0.266,0.004,0.009000000000000001,0.018000000000000002,0.0,0.036000000000000004,0.10300000000000001,,0.027999999999999997,0.07400000000000001,0.0,0.0,,0.42,0.0,13.51,0.03,0.0,0.07,0.0,0.0,0.0,1.12,0.05,0.0,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/orange-creamsicle
,Sapphire Scout (10801),"Flower, Inhalable",,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.0,0.142,0.015,0.0,0.38,0.233,,0.028999999999999998,0.22399999999999998,0.0,0.0,,0.88,0.0,21.5,0.01,0.0,0.07,0.0,0.0,0.0,0.94,0.12,0.07,https://www.allbud.com/marijuana-strains/hybrid/sapphire-scout
,Purple Panty Dropper (0714),"Flower, Inhalable",,,,,,0.0,0.0,0.0,0.0,0.0,0.026000000000000002,0.0,0.015,0.0,0.0,0.027000000000000003,0.048,0.109,0.0,0.168,0.478,,0.049,0.08,0.0,0.0,,0.43,0.01,11.65,0.01,0.0,0.05,0.0,0.0,0.0,0.29,0.03,0.05,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/purple-panty-dropper
,Blue Dream (18401),"Flower, Inhalable",,,,,,0.0,0.001,0.0,0.005,0.0,0.0,0.0,0.022000000000000002,0.0,0.0,0.02,0.048,0.5329999999999999,0.0,0.147,0.8009999999999999,,0.218,0.077,0.0,0.0,,0.86,0.0,21.75,0.01,0.0,0.09,0.0,0.0,0.0,0.61,0.04,0.0,https://www.allbud.com/marijuana-strains/sativa-dominant-hybrid/blue-dream
,Ogre (9801),"Flower, Inhalable",,,,,,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.034,0.048,0.0,0.032,0.098,0.005,0.0,0.36700000000000005,0.8759999999999999,,0.017,0.12300000000000001,0.0,0.0,,0.52,0.0,22.71,0.03,0.0,0.08,0.0,0.0,0.0,0.7,0.07,0.0,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/ogre
,GSC (13604),"Flower, Inhalable",,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037000000000000005,0.0,0.0,0.028999999999999998,0.141,0.01,0.0,0.385,0.161,,0.02,0.17300000000000001,0.0,0.0,,0.8,0.0,20.03,0.01,0.0,0.1,0.0,0.0,0.0,1.84,0.07,0.06,https://www.allbud.com/marijuana-strains/indica-dominant-hybrid/gsc
